AMCI.SMNWR_E,CMR_single_population
AMCI.SMNWR_W,CMR_single_population
ANBO.Blackrock-C,CMR_single_population_no_in
ANBO.Blackrock-H,CMR_single_population_nli
ANBO.JonesPond,CMR_single_population_mehg_no_in
ANBO.SonomaMountain,CMR_single_population_mehg_no_in
ANBO.TwoMedicine,CMR_single_population_nli
BCF.LilyPond,CMR_single_population_no_gl_no_in
BCF.MatthewsPond,CMR_single_population_nl_no_in
NOVI.MudLake,CMR_single_population
NOVI.SMNWR_W,CMR_single_population_nli
RANA.DilmanMeadows,CMR_single_population_mehg_nli
RANA.FoxCreek,CMR_single_population_mehg
RANA.JonesPond,CMR_single_population_mehg_nli
RANA.LostHorse,CMR_single_population_mehg_no_in
RANA.SanFrancisquito,CMR_single_population
RANA.SummitMeadow,CMR_single_population
RANA.ThreeCreeks,CMR_single_population_mehg_nli
