Site,SubSite,CaptureDate,Species	,IndividualID,MassG,Sex,Age,SVLmm,BdSample,SwabLost,SwabID,BdResult,TrgetCopies/swb,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
FoxCreek,P-850A,7/19/2018,RABO,900043000132896,15.7,M,A,52,Y,1,1800400060,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-029,9/5/2018,RASI,900043000132894,12.5,M,A,49,Y,0,1800400073,pos,662.7270162,,,0,0,,
SummitMeadow,Y-029,9/7/2018,RASI,900043000132894,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,6/20/2018,RABO,900043000132893,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/18/2018,RABO,900043000132892,8.5,F,A,43,Y,1,1800400041,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,7/18/2018,RABO,900043000132891,21.6,F,A,60,Y,1,1800400046,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850D,7/19/2018,RABO,900043000132889,16.9,F,A,54,Y,0,1800400052,neg,0,18ARMI0314,,0,0,,
SummitMeadow,Y-1526A,9/6/2018,RASI,900043000132887,20.9,M,A,61,Y,0,1800400090,pos,654.2017622,,,0,0,,
FoxCreek,P-850A,8/20/2019,RABO,900043000132886,12.2,M,A,54,Y,0,1902600325,neg,0,19ARMI3089,,0,0,,
FoxCreek,P-850B/C,7/16/2018,RABO,900043000132886,13.5,M,A,51,Y,0,1800400003,pos,130.5570996,,,0,0,,
SummitMeadow,Y-029,9/7/2018,RASI,900043000132884,9.2,F,A,44,Y,0,1800400112,pos,6157.048237,,"Left rear foot only has 3 toes, also has healed scratch on right side.",1,0,,
SummitMeadow,Y-029,9/8/2018,RASI,900043000132884,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,7/14/2018,RASI,900043000132883,9.5,,A,44,Y,0,1700100695,pos,236.5184419,,,0,0,,
FoxCreek,P-850A,7/17/2018,RABO,900043000132882,11.7,M,A,50,Y,0,1800400018,neg,0,18ARMI0305,,0,0,,
SummitMeadow,Y-1526A,9/5/2018,RASI,900043000132881,15.3,M,A,53,Y,0,1800400085,pos,29.73738071,,,0,0,,
SummitMeadow,Y-1526A,9/6/2018,RASI,900043000132881,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132881,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,900043000132881,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/17/2019,RABO,900043000132880,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/5/2018,RASI,900043000132878,17.2,M,A,54,Y,0,1800400082,pos,5704.619142,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,900043000132878,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/12/2018,RASI,900043000132877,14.5,M,A,52,Y,0,1700100673,pos,25423.49406,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,900043000132877,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/14/2018,RASI,900043000132877,,,,,N,,,,,,,0,0,,
FoxCreek,P-850D,7/18/2018,RABO,900043000132876,6.5,,A,40,Y,0,1800400036,neg,0,,,0,0,,
FoxCreek,P-850D,7/20/2018,RABO,900043000132876,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,7/16/2018,RABO,900043000132875,23.6,F,A,58,Y,0,1800400004,neg,0,,,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,900043000132874,18.8,M,A,59,Y,0,1800400138,pos,5502.26548,,,0,0,,
SummitMeadow,Y-029,9/6/2018,RASI,900043000132873,13.8,M,A,51,Y,0,1800400107,pos,2589.558742,,,0,0,,
SummitMeadow,Y-029,9/7/2018,RASI,900043000132872,23.6,F,A,61,Y,0,1800400109,neg,0,,,0,0,,
SummitMeadow,Y-029,9/8/2018,RASI,900043000132872,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,7/11/2018,RASI,900043000132871,13,F,A,49,Y,1,1700100660,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132870,15.5,M,A,52,Y,0,1800400134,pos,800.4083143,,,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,900043000132870,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/18/2018,RABO,900043000132869,16.6,M,A,53,Y,1,1800400028,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850B/C,6/22/2018,RABO,900043000132868,12.8,M,A,49,Y,0,1700100638,pos,3787.593667,,,0,0,,
FoxCreek,P-850A,8/5/2021,RABO,900043000132867,15.6,M,A,51,Y,0,2100600179,pos,3751.631244,,,0,0,,
FoxCreek,P-850A,8/3/2020,RABO,900043000132867,13.3,M,A,50,Y,0,2000800240,neg,0,20ARMI1888,,0,0,,
FoxCreek,P-850B/C,7/18/2018,RABO,900043000132867,6.8,M,A,40,Y,0,1800400031,neg,0,,,0,0,,
FoxCreek,P-850A,8/3/2020,RABO,900043000132867,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,8/2/2021,RABO,900043000132867,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,8/3/2021,RABO,900043000132867,,,,,N,,,,,,,0,0,,
FoxCreek,P-850D,6/18/2018,RABO,900043000132866,13.6,M,A,50,Y,1,1700100608,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850B/C,7/19/2018,RABO,900043000132865,16.9,M,A,55,Y,1,1800400066,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850B/C,7/19/2019,RABO,900043000132865,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/23/2019,RABO,900043000132865,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,9/7/2018,RASI,900043000132864,10.5,M,A,48,Y,0,1800400110,pos,4817.615767,,,0,0,,
SummitMeadow,Y-1687,9/6/2018,RASI,900043000132864,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/19/2018,RABO,900043000132863,31.6,F,A,68,Y,1,1800400061,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,6/22/2020,RABO,900043000132862,32.9,F,A,69,Y,0,2000800132,neg,0,19ARMI1861,,0,0,,
FoxCreek,P-850A,8/23/2019,RABO,900043000132862,42,F,A,66,Y,0,1902600364,neg,0,,,0,0,,
FoxCreek,P-850A,7/17/2018,RABO,900043000132862,28.9,F,A,63,Y,0,1800400009,neg,0,18ARMI0297,,0,0,,
FoxCreek,P-850A,8/19/2019,RABO,900043000132862,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,900043000132861,12.3,M,A,49,Y,0,1700100680,neg,0,,Weak looking nuptial pads,0,0,,
SummitMeadow,Y-1687,9/5/2018,RASI,900043000132860,15.9,M,A,54,Y,0,1800400076,pos,1528.142712,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,900043000132860,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,900043000132859,15,M,A,52,Y,0,1700100682,pos,237973.4569,,,0,0,,
SummitMeadow,Y-1687,7/14/2018,RASI,900043000132859,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,6/22/2018,RABO,900043000132858,12.5,M,A,47,Y,1,1700100647,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,7/17/2018,RABO,900043000132858,13,M,A,46,Y,0,1800400012,neg,0,18ARMI0299,,0,0,,
FoxCreek,P-850A,7/19/2018,RABO,900043000132857,9.8,M,A,45,Y,1,1800400058,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-1526A,9/5/2018,RASI,900043000132856,20.8,F,A,56,Y,0,1800400088,neg,0,,,0,0,,
SummitMeadow,Y-1526A,9/6/2018,RASI,900043000132856,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/18/2018,RABO,900043000132855,22.8,F,A,60,Y,0,1800400027,pos,3108.41627,,,0,0,,
FoxCreek,P-850A,7/20/2018,RABO,900043000132854,27,F,A,60,Y,1,1800400071,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-1526A,9/6/2018,RASI,900043000132853,17.6,F,A,56,Y,0,1800400102,pos,3104.182758,,,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,900043000132853,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/10/2018,RASI,900043000132851,12.1,M,A,49,Y,0,1700100653,pos,18.28090084,,,0,0,,
SummitMeadow,Y-029,8/19/2020,RASI,900043000132851,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-029,8/21/2020,RASI,900043000132851,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,900043000132851,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/14/2018,RASI,900043000132851,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/19/2018,RABO,900043000132850,13.4,M,A,52,Y,1,1800400057,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850D,7/15/2019,RABO,900043000132849,36.5,F,A,68,Y,0,1902600195,neg,0,19ARMI3072,,0,0,,
FoxCreek,P-850D,7/16/2018,RABO,900043000132849,34,F,A,67,Y,0,1800400006,neg,0,,,0,0,,
FoxCreek,P-850D,8/4/2020,RABO,900043000132849,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,900043000132847,10.1,F,A,45,Y,0,1700100683,pos,319.2133528,,,0,0,,
FoxCreek,P-850B/C,8/4/2021,RABO,900043000132846,27.9,F,A,66,Y,0,2100600107,neg,0,21ARMI2420,,0,0,,
FoxCreek,P-850B/C,6/20/2018,RABO,900043000132846,26.8,F,A,65,Y,0,1700100617,pos,2058.221536,,,0,0,,
FoxCreek,P-850B/C,6/19/2018,RABO,900043000132846,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,7/20/2018,RABO,900043000132846,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,7/14/2018,RASI,900043000132845,20.1,F,A,55,Y,0,1700100687,pos,2659.301897,,,0,0,,
FoxCreek,P-850A,7/17/2019,RABO,900043000132844,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,6/22/2018,RABO,900043000132843,13.3,M,A,47,Y,1,1700100646,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,7/17/2018,RABO,900043000132842,15.3,M,A,52,Y,0,1800400016,pos,2017.946729,18ARMI0303,,0,0,,
SummitMeadow,Y-1687,7/12/2018,RASI,900043000132841,8,,J,42,Y,0,1700100672,pos,276.0861677,,,0,0,,
FoxCreek,P-850A,7/16/2018,RABO,900043000132840,11.5,F,A,50,Y,1,1700100699,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,7/20/2018,RABO,900043000132840,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/16/2019,RABO,900043000132839,18,M,A,55,Y,0,1902600212,neg,0,,,0,0,,
FoxCreek,P-850A,7/15/2019,RABO,900043000132839,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/17/2019,RABO,900043000132839,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/19/2019,RABO,900043000132839,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/17/2018,RABO,900043000132838,15.9,M,A,50,Y,0,1800400023,neg,0,,,0,0,,
FoxCreek,P-850A,7/16/2018,RABO,900043000132835,13.3,M,A,48,Y,1,1700100696,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,7/17/2018,RABO,900043000132835,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/18/2018,RABO,900043000132835,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/26/2019,RASI,900043000132833,18.2,M,A,54,Y,0,1902600262,pos,31084.1627,,,0,0,,
SummitMeadow,Y-1526A,9/6/2018,RASI,900043000132833,12.6,M,A,49,Y,0,1800400097,neg,0,,,0,0,,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132833,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/8/2018,RASI,900043000132833,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/5/2019,RASI,900043000132833,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,900043000132831,12.8,M,A,47,Y,0,1800400116,pos,36632.11973,,,0,0,,
SummitMeadow,Y-1687,7/10/2018,RASI,900043000132830,17.6,F,A,54,Y,0,1700100655,pos,872.7637017,,,0,0,,
SummitMeadow,Y-029,9/7/2018,RASI,900043000132829,18,M,A,51,Y,0,1800400108,neg,0,,,0,0,,
SummitMeadow,Y-029,9/8/2018,RASI,900043000132829,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,6/20/2018,RABO,900043000132828,16.9,M,A,53,Y,0,1700100621,neg,0,,,0,0,,
FoxCreek,P-850A,7/20/2018,RABO,900043000132828,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/13/2018,RASI,900043000132827,8,,J,43,Y,0,1700100677,pos,1201.420773,,Both rear feet seem deformed.,1,0,,
SummitMeadow,Y-1687,7/14/2018,RASI,900043000132827,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/5/2018,RASI,900043000132826,18.8,F,A,58,Y,0,1800400077,pos,269.7630728,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,900043000132826,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,900043000132826,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,7/16/2018,RABO,900043000132825,10.8,F,A,46,Y,0,1800400001,pos,6870997.475,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,900043000132823,17.5,F,A,56,Y,0,1800400120,pos,744.6314301,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,900043000132823,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,9/6/2018,RASI,900043000132822,12.8,M,A,51,Y,0,1800400092,pos,310.841627,,,0,0,,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132822,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/27/2019,RASI,900043000132821,21.2,M,A,54,Y,0,1902600260,pos,210.7901011,,,0,0,,
SummitMeadow,Y-1526A,9/5/2018,RASI,900043000132821,15.4,M,A,51,Y,0,1800400075,pos,4801.229123,,,0,0,,
SummitMeadow,Y-1687,9/7/2018,RASI,900043000132821,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,900043000132821,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,900043000132821,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/23/2019,RASI,900043000132821,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/25/2019,RASI,900043000132821,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/5/2019,RASI,900043000132821,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,7/23/2021,RASI,900043000132821,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/19/2019,RABO,900043000132820,14.6,M,A,53,Y,0,1902600289,neg,0,,,0,0,,
FoxCreek,P-850A,7/17/2019,RABO,900043000132820,13.3,M,A,52,Y,0,1902600219,neg,0,,,0,0,,
FoxCreek,P-850B/C,6/22/2020,RABO,900043000132820,14.8,M,A,51,Y,0,2000800133,neg,0,19ARMI1862,,0,0,,
FoxCreek,P-850B/C,7/17/2018,RABO,900043000132820,13.9,M,A,50,Y,1,1800400014,,,18ARMI0301,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850A,7/18/2018,RABO,900043000132820,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,7/20/2018,RABO,900043000132820,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/22/2019,RABO,900043000132820,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,6/23/2020,RABO,900043000132820,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,8/4/2021,RABO,900043000132819,37.4,F,A,71,Y,0,2100600105,pos,1859.50021,,,0,0,,
FoxCreek,P-850A,6/30/2021,RABO,900043000132819,29.6,F,A,68,Y,0,2100600126,neg,0,,,0,0,,
FoxCreek,P-850A,8/21/2019,RABO,900043000132819,30.3,F,A,65,Y,0,1902600344,neg,0,19ARMI3103,,0,0,,
FoxCreek,P-850A,6/19/2018,RABO,900043000132819,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,6/22/2020,RABO,900043000132819,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,6/28/2021,RABO,900043000132819,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/1/2021,RABO,900043000132819,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,8/3/2021,RABO,900043000132819,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,8/5/2021,RABO,900043000132819,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/14/2018,RASI,900043000132818,12.3,M,A,47,Y,0,1700100689,pos,276.2743679,,,0,0,,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132818,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526,9/6/2019,RASI,900043000132816,42.5,F,A,71,Y,0,1902600414,neg,0,,,0,0,,
SummitMeadow,Y-1526,7/10/2018,RASI,900043000132816,21.7,F,A,59,Y,1,1700100658,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132816,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1687,9/5/2018,RASI,900043000132814,15.4,F,A,54,Y,0,1800400080,pos,13298.14374,,,0,0,,
SummitMeadow,Y-1687,9/8/2018,RASI,900043000132814,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,7/17/2019,RABO,900043000132813,12,M,A,48,Y,0,1902600225,neg,0,,,0,0,,
FoxCreek,P-850D,7/18/2018,RABO,900043000132813,6.2,,A,40,Y,0,1800400038,pos,24858.16316,,,0,0,,
FoxCreek,P-850B/C,7/19/2018,RABO,900043000132812,14.1,M,A,50,Y,1,1800400067,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850D,7/18/2018,RABO,900043000132811,22.6,U,A,60,Y,0,1800400039,neg,0,18ARMI0312,,0,0,,
FoxCreek,P-850D,7/17/2019,RABO,900043000132811,23.2,U,A,51,Y,0,1902600216,neg,0,,,0,0,,
FoxCreek,P-850D,8/20/2019,RABO,900043000132811,,,,,N,,,,,,,0,0,,
FoxCreek,P-850A,8/20/2019,RABO,900043000132810,25,F,A,63,Y,0,1902600326,neg,0,,,0,0,,
FoxCreek,P-850A,7/18/2018,RABO,900043000132810,25.3,F,A,61,Y,1,1800400048,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850B/C,6/24/2020,RABO,900043000132809,15.9,M,A,52,Y,0,2000800153,pos,354.7746737,,,0,0,,
FoxCreek,P-850B/C,8/4/2020,RABO,900043000132809,16.2,M,A,50,Y,0,2000800243,pos,1109.35235,,,0,0,,
FoxCreek,P-850A,7/15/2019,RABO,900043000132809,13.7,M,A,50,Y,0,1902600192,neg,0,,,0,0,,
FoxCreek,P-850B/C,8/20/2019,RABO,900043000132809,13.3,M,A,50,Y,1,1902600329,,,,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850B/C,7/18/2018,RABO,900043000132809,12.1,M,A,50,Y,1,1800400030,,,18ARMI0309,Duplicate,0,1,what does duplicate mean? Seems just to be missing in some way?,
FoxCreek,P-850B/C,7/16/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,7/18/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,7/19/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/21/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/22/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/22/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/23/2019,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/3/2020,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/5/2020,RABO,900043000132809,,,,,N,,,,,,,0,0,,
FoxCreek,P-850B/C,8/5/2020,RABO,900043000132809,,,,,N,,,,,,,0,0,,
SummitMeadow,Y-1526A,7/24/2019,RASI,900043000132808,22.9,M,A,61,Y,0,1902600255,pos,3189.959022,,,0,0,,
SummitMeadow,Y-1526A,9/7/2018,RASI,900043000132808,22.3,M,A,58,Y,0,1800400125,pos,30.57992953,,,0,0,,
SummitMeadow,Y-1526A,7/11/2018,RASI,900043000132808,18.2,M,A,55,Y,0,1700100666,pos,464.3560412,,,0,0,,
